material_id,material_name,material_type,strength_score,weight_cap,biodegradability,co2_emission,recyclability_percent
76,Fucoidan-Based Trays,Bio-based polysaccharide,3,3,94,91,25
77,Pectin Films (Fruit-Derived),Bio-based polysaccharide,2,2,92,88,30
78,Bacterial Cellulose Sheets,Bio-based (microbial),4,3,95,90,20
79,Pullulan Films (Fungal),Bio-based polysaccharide,2,2,95,92,25
80,Xanthan Gum Coatings,Bio-based polysaccharide,2,2,90,88,30
81,Guar Gum Composites,Bio-based polysaccharide,2,3,92,87,35
82,Orange Peel Composites,Agro-waste composite,2,2,92,88,40
83,Lemon Peel Films,Agro-waste polymer,2,2,90,87,35
84,Pomegranate Rind Trays,Agro-waste composite,3,3,88,85,45
85,Grape Pomace Fillers,Agro-waste particle,2,3,90,86,50
86,Tomato Skin Sheets,Agro-waste fiber,2,2,92,88,40
87,Onion Peel Composites,Agro-waste composite,3,3,85,82,55
88,Garlic Husk Padding,Agro-waste particle,2,2,88,85,50
89,Eggshell Calcium Composites,Bio-mineral composite,4,4,85,80,60
90,Crab Shell Chitin Films,Bio-based polysaccharide,3,3,90,88,30
91,Shrimp Shell Chitosan Trays,Bio-based polysaccharide,3,3,92,89,30
92,Fish Scale Bioplastics,Bio-based composite,3,3,85,85,25
93,Feather Keratin Foams,Bio-based protein,2,2,90,87,20
94,Wool Fiber Padding,Natural fiber (animal),3,3,85,75,70
95,Silk Cocoons Composites,Natural fiber (protein),3,3,80,80,40
96,Casein (Milk Protein) Films,Bio-based protein,2,2,90,82,25
97,Gelatin-Based Wraps,Bio-based protein,2,2,95,85,20
98,Collagen Sheets,Bio-based protein,3,3,92,88,30
99,Lignin Foams (Wood Extract),Bio-based polymer,3,3,85,90,40
100,Hemicellulose Films,Bio-based polysaccharide,2,2,90,88,35
101,Glucomannan Noodles/Padding,Bio-based polysaccharide,2,3,95,87,25
102,Locust Bean Gum Trays,Bio-based polysaccharide,2,2,92,86,30
103,Konjac Glucomannan Films,Bio-based polysaccharide,2,2,95,88,25
104,Fungal Keratinase Composites,Bio-based composite,3,3,95,92,20
105,Bacterial Nanocellulose Foams,Bio-based (microbial),4,4,95,90,20
106,Pha From Bacteria (Films),Bio-based polyester,3,3,95,85,25
107,Phb Bottles/Trays,Bio-based polyester,4,4,90,80,30
108,Polyhydroxybutyrate Composites,Bio-based polyester,4,4,92,82,30
109,Spider Silk-Inspired Synthetics,Bio-based protein mimic,5,4,85,88,40
110,Nettle Fiber Bags,Natural fiber,4,4,90,87,55
111,Willow Bark Composites,Lignocellulosic,3,3,88,85,60
